"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",496,46,26,4,1,1,3,1,3,7
"2004",435,35,26,1,2,1,0,3,2,2
"2005",602,39,24,7,3,2,0,0,0,3
"2006",607,33,20,4,3,1,0,1,1,4
"2007",637,50,34,5,4,2,2,0,1,2
"2008",641,39,27,5,3,0,0,0,0,4
"2009",635,46,37,1,3,1,1,1,2,1
"2010",660,53,36,2,6,3,0,1,0,5
"2011",642,53,30,7,3,3,3,1,2,4
"2012",645,51,27,7,4,1,2,2,4,6
"2013",422,46,27,3,4,4,2,2,1,3
"2014",625,53,33,4,4,4,0,1,3,5
"2015",597,69,36,11,7,6,2,1,2,5
"2016",642,50,25,2,8,3,3,2,3,5
"2017",650,58,35,3,6,3,4,3,2,3
"2018",661,40,24,2,4,3,1,2,3,3
"2019",329,19,11,0,2,1,1,0,0,4
"2021",625,59,29,9,6,6,2,1,2,5
"2022",568,67,39,4,4,6,4,1,1,8
"2023",612,50,23,2,2,4,5,4,4,9
"2024",597,61,28,7,5,8,2,2,2,9
"2025",644,55,29,4,5,2,3,2,5,7
