"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",407,135,31,9,13,12,11,5,12,47
"2004",372,98,24,8,1,7,6,6,11,39
"2005",513,128,26,10,10,13,11,7,10,45
"2006",493,147,41,17,9,16,15,7,12,36
"2007",527,160,34,11,22,11,5,11,11,60
"2008",528,152,42,12,12,6,8,14,18,51
"2009",527,154,35,16,13,13,7,10,16,52
"2010",584,129,31,8,12,10,8,9,7,46
"2011",562,133,36,11,11,11,13,6,5,42
"2012",560,136,35,17,12,11,10,6,9,40
"2013",366,102,28,13,9,8,2,6,5,35
"2014",538,140,53,7,15,6,8,8,7,40
"2015",535,131,44,11,12,4,8,6,9,40
"2016",563,129,33,11,14,14,8,5,9,40
"2017",578,130,38,8,10,9,6,7,5,48
"2018",587,114,31,7,6,12,7,7,12,35
"2019",275,73,25,3,5,2,6,5,7,23
"2021",554,130,30,13,14,10,11,7,9,41
"2022",496,139,33,17,6,13,11,9,6,46
"2023",543,119,35,10,8,4,8,5,11,43
"2024",539,119,24,10,8,11,9,10,12,41
"2025",575,124,37,13,12,6,10,11,10,31
