"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",427,115,36,7,11,8,5,9,10,36
"2004",355,115,30,12,10,12,5,7,12,31
"2005",503,138,47,6,10,9,6,7,14,45
"2006",505,135,49,7,15,11,6,6,9,36
"2007",549,138,52,15,13,12,8,6,8,28
"2008",560,120,53,7,8,5,7,2,6,34
"2009",533,148,58,21,16,3,9,5,8,30
"2010",547,166,48,23,26,12,7,12,15,30
"2011",537,158,42,10,12,17,11,15,14,45
"2012",548,148,47,11,16,13,10,6,6,41
"2013",374,94,31,10,6,6,3,3,4,33
"2014",532,146,42,16,12,11,10,12,9,41
"2015",503,163,54,19,22,18,4,8,10,33
"2016",545,147,48,8,14,12,11,4,7,44
"2017",530,178,58,18,15,12,12,11,15,44
"2018",537,164,56,15,16,12,12,5,7,44
"2019",266,82,20,5,5,3,8,2,4,37
"2021",519,165,40,10,21,10,10,4,13,61
"2022",499,136,43,12,12,10,5,8,11,40
"2023",520,142,45,12,14,14,9,7,5,39
"2024",504,154,57,9,10,9,10,7,6,49
"2025",557,142,24,14,19,13,8,11,9,51
